"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","La Vallée-du-Richelieu, Quebec, municipal [24029]","2021A002524029","Crime severity index","Index","160","units","0","v65968277","7.1","","..","","","2"
"2001","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","70.33","","","","2"
"2002","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","0.00","","","","2"
"2003","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","0.00","","","","2"
"2004","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","0.00","","","","2"
"2005","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","0.00","","","","2"
"2006","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2007","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2008","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2009","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2010","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2011","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2012","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2013","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2014","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2015","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2016","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2017","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2018","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2019","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2020","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2021","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2022","Boucherville, Quebec, municipal [24037]","2021A002524037","Crime severity index","Index","160","units","0","v65968289","8.1","","..","","","2"
"2001","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","79.41","","","","2"
"2002","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","0.00","","","","2"
"2003","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","0.00","","","","2"
"2004","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","0.00","","","","2"
"2005","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","0.00","","","","2"
"2006","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2007","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2008","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2009","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2010","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2011","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2012","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2013","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2014","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2015","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2016","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2017","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2018","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2019","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2020","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2021","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2022","Brossard, Quebec, municipal [24039]","2021A002524039","Crime severity index","Index","160","units","0","v65968301","9.1","","..","","","2"
"2001","Bromont, Quebec, municipal [24040]","2021A002524040","Crime severity index","Index","160","units","0","v65968313","10.1","149.10","","","","2"
"2002","Bromont, Quebec, municipal [24040]","2021A002524040","Crime severity index","Index","160","units","0","v65968313","10.1","117.01","","","","2"
"2003","Bromont, Quebec, municipal [24040]","2021A002524040","Crime severity index","Index","160","units","0","v65968313","10.1","115.77","","","","2"
"2004","Bromont, Quebec, municipal [24040]","2021A002524040","Crime severity index","Index","160","units","0","v65968313","10.1","111.76","","","","2"
